,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
2132,002852,道道全,食品,湖南,44.89,0.25,1.0,120132.57,65107.86,11516.05,12104.45,1.21,2.057,8.85,10.43,20170310,41741.8,4.17,23.09,12.45,16.58,7.65,45972
2406,002853,皮阿诺,家居用品,广东,55.15,0.16,0.62,64505.57,39334.76,15603.1,15085.6,2.43,1.409,8.18,9.5,20170310,16149.98,2.6,23.12,27.74,37.85,13.89,28965
1548,603955,大千生态,环境保护,江苏,59.15,0.22,0.87,157274.13,118076.47,447.52,30958.35,3.56,0.801,10.53,4.5,20170310,27676.27,3.18,13.62,15.55,25.65,11.65,22110
457,300620,光库科技,元器件,广东,73.33,0.22,0.88,24316.84,21265.57,1330.56,6031.31,0.69,0.563,2.99,13.83,20170310,6138.6,0.7,28.3,62.44,49.01,28.1,41784
1954,603991,至正股份,塑料,上海,84.99,0.19,0.75,46582.14,26469.76,2225.7,8911.82,1.2,0.503,4.41,9.69,20170308,9107.85,1.22,16.69,11.27,27.33,10.67,17382
1726,603908,牧高笛,纺织,浙江,74.17,0.17,0.67,36211.3,30778.63,3026.7,1783.14,0.27,0.712,3.88,13.62,20170307,10333.19,1.55,-5.32,-12.46,34.43,11.02,15567
2669,300616,尚品宅配,家居用品,广东,59.29,0.27,1.08,214996.52,121581.38,72835.47,3542.73,0.33,2.366,10.3,13.62,20170307,68781.35,6.37,30.39,83.12,46.19,6.35,48887
1875,002851,麦格米特,电气设备,深圳,73.0,0.45,1.78,144212.88,105224.8,20755.74,14447.54,0.81,0.617,5.17,8.71,20170306,37734.93,2.12,41.98,93.85,33.77,9.5,37000
176,603578,三星新材,玻璃,浙江,105.85,0.22,0.88,29902.66,19808.64,7260.71,6384.37,0.73,0.542,3.35,17.14,20170306,7408.62,0.84,14.72,26.46,28.48,17.44,23239
264,603138,海量数据,软件服务,北京,135.21,0.21,0.82,40168.92,33864.15,1368.15,982.8,0.12,0.532,2.7,26.65,20170306,8232.1,1.0,20.22,20.58,20.52,9.27,20596
2947,300618,寒锐钴业,小金属,江苏,133.38,0.3,1.2,80345.5,53050.67,21414.82,13453.65,1.12,0.555,4.15,17.82,20170306,12583.58,1.05,-20.24,134.5,23.2,8.96,53659
3034,002850,科达利,机械基件,深圳,55.29,0.35,1.4,172321.41,91797.35,57926.5,22797.03,1.63,1.662,8.86,10.37,20170302,55362.57,3.95,28.45,50.61,30.49,15.99,62072
2914,300619,金银河,专用机械,广东,246.98,0.19,0.75,64618.45,53298.19,5905.9,18789.59,2.52,0.06,5.07,9.5,20170301,9774.76,1.31,0.0,0.0,29.08,7.3,21126
2641,300617,安靠智电,电气设备,江苏,65.97,0.17,0.67,61349.6,38024.14,18591.46,9920.13,1.49,1.089,7.85,9.15,20170228,21374.93,3.21,19.42,13.81,50.97,22.41,30768
1209,603238,诺邦股份,纺织,浙江,62.94,0.3,1.2,49722.35,13150.3,0.0,0.0,0.0,0.384,4.13,7.8,20170222,0.0,0.0,0.0,0.0,26.2,12.12,28023
1207,603345,安井食品,食品,福建,54.28,0.54,2.16,247853.72,127058.52,97341.11,10929.17,0.51,1.09,6.2,7.19,20170222,68464.43,3.17,17.0,38.23,27.12,5.92,40016
3085,600939,重庆建工,建筑施工,重庆,82.74,1.82,18.15,6105199.0,4784927.0,113704.32,78610.03,0.43,0.121,2.57,5.2,20170221,140738.48,0.78,0.0,0.0,6.0,0.7,151698
3120,603817,海峡环保,环境保护,福建,83.99,1.13,4.5,175221.13,19417.4,90902.9,31825.55,0.71,0.29,2.75,6.55,20170220,25231.47,0.56,17.73,13.03,47.56,29.21,70135
2530,300613,富瀚微,半导体,上海,67.63,0.11,0.44,90863.96,89013.32,1336.0,58456.21,13.15,0.74,19.53,8.51,20170220,22089.15,4.97,0.0,0.0,60.46,32.39,14751
769,300611,美力科技,机械基件,浙江,67.94,0.22,0.89,57927.11,30613.46,11633.12,16109.45,1.8,0.82,6.32,6.65,20170220,17716.21,1.98,20.67,15.62,37.25,15.41,41404
214,002849,威星智能,电器仪表,浙江,86.25,0.22,0.87,46779.65,36943.93,2612.26,5927.78,0.68,0.603,4.27,12.17,20170217,13532.02,1.56,44.66,47.15,32.35,13.39,40701
