,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Drop_Down
76,002799,环球印务,广告包装,陕西,243.96,0.25,1.0,67480.75,32298.55,25291.92,14834.09,1.48,0.2,5.06,10.67,20160608,23176.38,2.32,0.0,0.0,21.83,5.98,21730,-56.49
1483,002800,天顺股份,仓储物流,新疆,141.96,0.19,0.75,59389.07,47115.71,2874.24,15270.51,2.04,0.39,5.37,11.71,20160530,16415.95,2.2,0.0,0.0,14.36,6.62,17798,-56.41
3042,300509,新美星,专用机械,江苏,89.77,0.2,0.8,108469.77,92189.36,10381.88,30648.3,3.83,0.54,6.97,8.19,20160425,15515.98,1.94,0.0,0.0,35.79,11.06,15875,-56.07
1920,300525,博思软件,软件服务,福建,335.7,0.17,0.68,43026.0,28658.9,11987.0,19457.65,2.86,0.22,5.81,13.91,20160726,12234.75,1.8,0.0,0.0,68.74,15.13,17081,-55.69
1219,002813,路畅科技,汽车配件,深圳,111.97,0.3,1.2,122260.4,74255.15,36769.68,20449.9,1.7,0.321,5.51,8.7,20161012,30396.1,2.53,0.0,0.0,32.18,6.99,53295,-55.12
2875,300501,海顺新材,广告包装,上海,70.23,0.19,0.53,68389.3,48522.28,7828.56,31960.15,5.99,1.26,10.73,7.92,20160204,18196.46,3.41,2.48,9.93,38.69,21.44,10931,-54.92
1050,603131,上海沪工,专用机械,上海,85.29,0.25,1.0,72460.63,58311.81,12478.6,27212.6,2.72,0.6,6.03,9.5,20160607,20584.07,2.06,0.0,0.0,32.3,13.64,22160,-54.69
2670,300515,三德科技,电器仪表,湖南,199.01,0.25,1.0,50614.5,38889.07,6206.0,20991.76,2.1,0.27,4.36,13.95,20160608,11079.17,1.11,0.0,0.0,55.81,17.04,20404,-54.67
2797,300511,雪榕生物,种植业,上海,61.66,0.38,1.5,246058.22,40637.0,119615.63,63254.61,4.22,0.76,8.55,5.04,20160504,45743.82,3.05,-1.99,-15.03,23.07,10.49,22756,-54.64
2785,002818,富森美,房产服务,四川,42.61,0.44,4.4,412626.25,37845.37,32293.06,11014.32,0.25,0.982,6.86,8.13,20161109,210679.84,4.79,0.0,0.0,70.78,46.86,39310,-54.61
1375,603189,网达软件,软件服务,上海,287.07,0.55,2.21,77051.49,65511.26,811.62,37120.5,1.68,0.12,3.32,10.42,20160914,12281.57,0.56,0.0,0.0,48.98,15.48,46791,-54.58
3035,603159,上海亚虹,专用机械,上海,162.51,0.25,1.0,48808.34,32324.77,11875.71,12207.2,1.22,0.35,3.66,16.11,20160812,13179.45,1.32,0.0,0.0,22.54,8.27,17989,-54.48
2409,603016,新宏泰,电气设备,江苏,89.2,0.37,1.48,92116.24,71647.63,11197.19,27593.13,1.86,0.4,5.39,7.29,20160701,33594.65,2.27,0.0,0.0,42.68,17.24,22589,-54.44
3051,300555,路通视信,通信设备,江苏,86.65,0.2,0.8,53344.86,43758.18,565.17,2844.84,0.36,0.66,3.81,15.01,20161018,19565.47,2.45,0.0,0.0,33.27,14.57,15800,-54.4
712,002796,世嘉科技,专用机械,江苏,99.11,0.2,0.8,59674.78,45961.76,10132.37,26651.01,3.33,0.51,5.91,9.87,20160510,10449.91,1.31,0.0,0.0,20.31,9.81,18888,-54.38
2814,300517,海波重科,建筑施工,湖北,128.32,0.26,1.02,92680.96,72106.86,9006.17,26467.35,2.58,0.33,5.64,8.13,20160719,18793.3,1.84,0.0,0.0,25.04,10.4,21116,-54.12
2794,300550,和仁科技,软件服务,浙江,114.0,0.2,0.8,40646.25,25825.73,456.6,3297.9,0.41,0.59,3.12,21.44,20161018,14393.51,1.8,0.0,0.0,55.2,22.23,36413,-53.93
465,300503,昊志机电,机械基件,广东,85.24,0.41,1.01,79759.57,55597.03,14440.85,26535.01,2.62,0.59,6.76,8.92,20160309,28132.51,2.77,0.0,0.0,51.93,20.75,16000,-53.91
2713,603031,安德利,百货,安徽,109.61,0.2,0.8,133752.61,49569.3,56756.71,24486.02,3.06,0.389,7.13,7.97,20160822,24092.53,3.01,0.0,0.0,19.9,2.75,26792,-53.52
2740,300528,幸福蓝海,影视音像,江苏,96.17,0.78,3.11,234861.16,172488.88,31433.81,92206.99,2.97,0.3,5.82,5.2,20160808,54043.43,1.74,0.0,0.0,49.32,7.41,44838,-53.47
2921,603090,宏盛股份,专用机械,江苏,117.06,0.25,1.0,51796.98,39616.19,4238.75,22229.05,2.22,0.48,4.53,10.29,20160831,11340.46,1.13,-2.99,8.11,36.07,17.33,16552,-53.37
3152,300552,万集科技,软件服务,北京,83.04,0.27,1.07,109133.65,97039.65,9645.17,34414.45,3.23,0.82,6.97,7.74,20161021,26186.4,2.45,24.19,8.46,38.95,10.91,22068,-52.97
1523,300474,景嘉微,元器件,湖南,111.65,0.67,2.67,94483.13,77633.25,935.82,23074.8,0.86,0.36,3.2,15.83,20160331,31249.95,1.17,0.0,0.0,80.51,41.82,27524,-52.96
2017,300507,苏奥传感,汽车配件,江苏,76.96,0.17,0.67,94635.75,80256.88,11219.75,35759.0,5.36,1.58,11.8,9.42,20160429,32622.48,4.89,22.5,23.61,30.87,16.74,13443,-52.86
2909,300542,新晨科技,软件服务,北京,349.84,0.23,0.9,66465.36,55537.65,1341.29,19925.65,2.21,0.14,5.97,8.39,20160920,21511.26,2.39,0.0,0.0,23.99,3.6,39985,-52.76
2712,300530,达志科技,化工原料,广东,97.2,0.18,0.7,49126.8,40455.3,1428.5,20093.0,2.87,0.62,6.65,9.37,20160809,17726.5,2.53,0.0,0.0,50.63,35.44,13225,-52.59
2270,300531,优博讯,软件服务,深圳,182.29,0.2,0.8,59338.19,57618.88,587.3,22743.67,2.84,0.6,6.62,17.11,20160809,21307.4,2.66,0.0,0.0,39.36,17.58,19300,-52.36
2868,300519,新光药业,中成药,浙江,55.39,0.2,0.8,64645.26,51864.84,4133.12,23949.85,2.99,1.27,7.56,10.33,20160624,24817.1,3.1,0.0,0.0,65.61,36.77,15768,-52.34
1769,603843,正平股份,建筑施工,青海,122.33,1.0,4.0,362505.78,317068.63,13703.69,37006.23,0.93,0.16,2.99,6.75,20160905,35363.65,0.88,0.0,0.0,10.11,2.95,53735,-52.25
3070,002825,纳尔股份,化工原料,上海,89.78,0.25,1.0,46835.26,27741.95,14853.76,1918.71,0.19,0.488,4.53,12.88,20161129,21985.81,2.2,0.28,6.09,24.83,12.26,46122,-52.16
2911,603701,德宏股份,汽车配件,浙江,63.61,0.2,0.78,71448.77,45610.23,12527.15,26002.59,3.32,0.75,6.77,8.36,20160412,16716.75,2.13,-2.47,18.58,34.83,17.09,14011,-51.87
3131,300533,冰川网络,软件服务,深圳,70.53,0.25,1.0,171503.59,169206.73,776.64,87977.78,8.8,1.48,14.49,7.49,20160818,43149.96,4.31,0.0,0.0,91.98,40.27,28435,-51.87
2709,603339,四方冷链,专用机械,江苏,65.8,0.52,2.07,147819.31,128272.38,11410.98,48264.26,2.33,0.46,6.11,5.71,20160519,54815.28,2.65,0.0,0.0,31.26,17.48,34368,-51.69
312,603528,多伦科技,软件服务,江苏,44.51,0.52,2.07,185322.75,163770.31,13272.24,37208.1,1.8,1.33,6.29,11.16,20160503,64043.2,3.1,0.0,0.0,63.01,38.92,28456,-51.17
2878,300502,新易盛,通信设备,四川,70.06,0.41,0.78,116733.67,90909.3,19657.99,45654.96,5.88,1.13,12.51,7.75,20160303,39962.93,5.15,0.0,0.0,27.33,15.8,14890,-51.13
3006,300532,今天国际,软件服务,深圳,110.38,0.21,0.84,115785.9,100176.71,1768.9,35853.7,4.27,0.57,8.51,7.65,20160818,24180.82,2.88,0.0,0.0,39.79,14.38,19537,-51.12
2627,300548,博创科技,元器件,浙江,92.06,0.21,0.83,60985.95,50723.57,6990.81,22474.92,2.72,0.84,6.52,11.82,20161012,20486.2,2.48,0.0,0.0,38.51,22.61,38864,-51.09
2335,300499,高澜股份,专用机械,广东,144.44,0.67,1.2,101317.65,76697.11,12882.19,21531.49,1.79,0.2,4.67,7.92,20160202,20656.67,1.72,44.77,22.13,38.47,7.03,13113,-51.08
2825,603028,赛福天,钢加工,江苏,137.16,0.55,2.21,87517.55,46303.96,23265.92,19095.5,0.86,0.15,3.05,8.0,20160331,24371.38,1.1,0.0,0.0,25.38,7.74,30860,-50.7
2714,603421,鼎信通讯,通信设备,山东,61.05,0.43,4.33,203748.47,155399.31,12327.0,53400.91,1.23,0.52,4.22,9.03,20161011,74775.96,1.73,0.0,0.0,62.47,22.94,41404,-50.55
2070,300546,雄帝科技,元器件,深圳,133.02,0.13,0.53,67227.56,62856.9,1003.75,23485.13,4.4,0.81,10.3,10.45,20160928,23670.38,4.44,0.0,0.0,53.64,18.65,24373,-50.35
114,002798,帝王洁具,家居用品,四川,160.63,0.22,0.86,62282.3,46155.55,12196.42,22951.57,2.66,0.35,6.49,9.8,20160525,21621.95,2.5,0.0,0.0,31.33,9.24,17136,-50.24
2855,603067,振华股份,化工原料,湖北,65.01,0.55,2.2,128130.22,68429.88,53390.41,41171.1,1.87,0.44,4.73,6.09,20160913,36643.67,1.67,0.0,0.0,31.16,11.67,34084,-50.14
2203,601127,小康股份,汽车配件,重庆,44.44,1.43,8.93,1983568.25,1271282.88,308728.06,108531.47,1.22,0.63,4.31,5.93,20160615,169538.31,1.9,53.42,37.91,19.34,3.17,65041,-50.13
454,603667,五洲新春,机械基件,浙江,80.35,0.51,2.02,141303.77,76346.06,43759.8,21430.35,1.06,0.333,4.71,7.57,20161025,32554.4,1.61,0.0,0.0,22.84,8.67,48727,-50.13
3033,300540,深冷股份,专用机械,四川,90.96,0.2,0.8,93363.03,87706.8,1606.2,33138.48,4.14,0.57,7.86,6.83,20160823,19185.4,2.4,0.0,0.0,36.26,13.63,20096,-50.11
2995,603160,汇顶科技,元器件,深圳,57.58,0.45,4.45,213549.59,184013.91,14960.98,3422.9,0.08,1.51,3.76,27.61,20161017,112007.38,2.52,0.0,0.0,47.58,28.39,43194,-50.08
3054,300538,同益股份,批发业,深圳,108.16,0.14,0.56,51612.51,50271.65,709.03,20101.35,3.59,0.63,6.94,10.24,20160826,12333.87,2.2,0.0,0.0,13.9,4.49,10802,-50.05
2532,603779,威龙股份,红黄药酒,山东,176.86,0.5,2.0,144937.38,92808.13,27016.08,14475.42,0.72,0.17,3.76,9.09,20160516,37026.64,1.85,0.0,0.0,58.58,5.61,28231,-50.05
2069,002815,崇达技术,半导体,深圳,49.51,0.5,4.1,340344.31,143984.09,143910.86,71448.15,1.74,1.01,5.14,8.83,20161012,90783.1,2.21,27.87,24.88,36.81,16.73,37289,-49.82
3019,300559,佳发安泰,软件服务,四川,72.85,0.18,0.72,64484.61,52263.5,1198.46,28366.88,3.95,1.09,8.11,7.73,20161101,19276.68,2.68,11.59,7.29,55.35,37.27,15230,-49.79
2398,603313,梦百合,家居用品,江苏,47.58,0.6,2.4,204181.73,146496.5,34100.18,89684.93,3.74,0.79,6.71,5.59,20161013,42573.35,1.77,0.0,0.0,33.95,11.62,53283,-49.55
2720,002788,鹭燕医药,医药商业,福建,60.38,0.74,1.28,390622.09,339576.63,33135.07,65008.7,5.07,0.65,10.4,4.75,20160218,51464.21,4.02,7.55,2.71,7.41,1.49,26054,-49.4
2951,300565,科信技术,通信设备,深圳,80.4,0.4,1.6,87290.11,78041.32,1163.55,2757.06,0.17,0.344,3.3,11.18,20161122,22881.7,1.43,0.0,0.0,36.02,10.82,29142,-49.39
1159,300535,达威股份,化工原料,四川,104.05,0.15,0.6,67153.21,48604.26,8250.91,31399.51,5.26,0.84,10.14,8.9,20160812,20828.26,3.49,0.0,0.0,50.78,18.79,14350,-49.36
3141,002792,通宇通讯,通信设备,广东,43.88,0.71,2.26,249975.63,220052.25,14056.62,73251.21,3.24,0.692,7.89,5.14,20160328,76158.46,3.37,-3.68,-13.5,38.91,16.53,23198,-49.2
198,300545,联得装备,专用机械,深圳,176.38,0.18,0.71,55374.18,51998.12,1448.91,22213.5,3.12,0.42,6.31,11.88,20160928,13963.02,1.96,0.0,0.0,27.36,13.45,12934,-49.08
2886,603887,城地股份,建筑施工,上海,90.2,0.25,0.98,102469.11,90463.86,8154.58,34492.75,3.52,0.69,6.96,7.31,20161010,21523.09,2.19,1.81,-1.1,19.55,9.79,16111,-48.98
620,002801,微光股份,电气设备,浙江,72.36,0.15,0.59,84381.81,69311.53,11489.32,27533.98,4.68,1.94,12.69,9.68,20160622,36753.6,6.24,11.09,21.54,34.02,22.66,16857,-48.93
2874,300563,神宇股份,通信设备,江苏,114.58,0.2,0.8,61480.3,36377.15,21113.1,15894.55,1.99,0.58,5.3,9.73,20161114,16639.77,2.08,18.5,10.82,25.27,11.52,15576,-48.87
441,601500,通用股份,汽车配件,江苏,88.32,1.75,7.27,409778.13,222723.17,144775.31,74228.81,1.02,0.24,3.44,6.23,20160919,89047.24,1.22,0.0,0.0,17.22,5.53,99701,-48.51
2676,300557,理工光科,电器仪表,湖北,96.16,0.14,0.56,60266.38,56162.26,2510.84,19838.15,3.56,0.99,8.39,8.97,20161101,18547.26,3.33,13.07,14.36,42.95,20.98,12298,-48.51
2970,603861,白云电器,电气设备,广东,127.58,0.49,4.09,260312.95,162975.48,55917.03,34267.19,0.84,0.17,4.42,6.44,20160322,91669.77,2.24,0.0,0.0,28.29,8.54,31932,-48.4
3023,300553,集智股份,电器仪表,浙江,126.59,0.12,0.48,19416.78,13806.1,612.56,4179.06,0.87,0.494,4.82,17.29,20161021,8424.86,1.76,0.0,0.0,56.05,31.01,10852,-48.35
1047,603322,超讯通信,通信设备,广东,507.15,0.2,0.8,93845.17,90188.53,2623.46,25377.57,3.17,0.203,5.81,23.59,20160728,12223.1,1.53,0.0,0.0,21.96,3.25,16195,-47.55
2963,603858,步长制药,中成药,山东,37.86,0.7,6.82,1628942.13,617278.56,128687.51,22941.02,0.34,1.846,13.74,6.78,20161118,726327.81,10.65,0.0,0.0,83.55,13.98,61706,-47.45
3151,002789,建艺集团,装修装饰,深圳,70.91,0.37,0.81,294906.0,255768.77,4734.46,61053.11,7.52,0.74,13.01,5.08,20160311,31709.69,3.91,0.85,4.64,13.26,4.1,14968,-47.1
2762,600936,广西广电,影视音像,广西,54.54,3.0,16.71,707051.38,266729.06,286343.41,110046.57,0.66,0.2,2.19,5.52,20160815,71710.18,0.43,0.0,0.0,32.02,15.97,113363,-47.09
2760,603959,百利科技,建筑施工,湖南,60.78,0.56,2.24,184492.95,172698.67,4724.9,27004.78,1.21,0.53,3.91,7.39,20160517,34190.64,1.53,70.8,42.15,29.39,13.83,33933,-47.04
3143,603258,电魂网络,互联网,浙江,51.21,0.6,2.4,86315.21,62596.67,1155.14,1465.79,0.06,0.824,3.41,16.5,20161026,33167.05,1.38,0.0,0.0,93.07,52.68,54003,-47.0
857,002793,东音股份,专用机械,浙江,66.89,0.25,1.0,81289.27,52640.05,20514.28,31034.36,3.1,1.09,6.98,9.61,20160415,25351.14,2.54,9.1,22.71,28.75,15.75,19665,-46.97
2566,300527,华舟应急,专用机械,湖北,107.34,1.16,4.63,294017.47,238878.3,34765.6,89128.99,1.93,0.178,3.71,6.86,20160805,31867.8,0.69,0.0,0.0,19.68,6.77,70193,-46.97
3000,603663,三祥新材,矿物制品,福建,124.77,0.34,1.34,48595.07,37339.53,8343.11,15695.38,1.17,0.34,3.18,11.52,20160801,11490.49,0.86,0.14,18.84,32.07,14.16,25773,-46.85
3031,603987,康德莱,医疗保健,上海,65.48,0.53,2.1,138543.44,61346.1,66355.77,20036.95,0.95,0.364,4.21,7.53,20161121,27593.8,1.31,0.0,0.0,32.89,9.32,47595,-46.59
2777,300536,农尚环境,建筑施工,湖北,85.38,0.23,0.93,73885.45,72564.93,962.99,20834.25,2.24,0.54,5.1,9.12,20160920,15599.32,1.68,0.0,0.0,27.25,13.26,16330,-46.35
1788,002817,黄山胶囊,化学制药,安徽,96.63,0.22,0.87,43119.96,17945.15,19053.17,5356.1,0.62,0.501,5.48,11.78,20161025,21420.3,2.47,0.0,0.0,43.26,21.01,40516,-46.2
3154,300617,安靠智电,电气设备,江苏,102.55,0.17,0.67,61349.6,38024.14,18591.46,9920.13,1.49,1.089,7.85,14.23,20170228,21374.93,3.21,19.42,13.81,50.97,22.41,30768,-46.19
2099,002810,山东赫达,化工原料,山东,97.8,0.24,0.96,102905.61,56236.91,34368.81,19075.25,2.0,0.5,6.64,7.63,20160826,30115.98,3.15,0.0,0.0,25.5,8.87,16144,-46.13
3039,300541,先进数通,软件服务,北京,174.43,0.3,1.2,108420.51,107081.75,577.87,35528.6,2.96,0.26,5.62,8.21,20160913,17805.6,1.48,0.0,0.0,22.28,4.64,51568,-46.01
2808,300522,世名科技,染料涂料,江苏,82.97,0.17,0.67,57716.76,40764.71,9781.62,28469.8,4.27,0.92,8.15,10.72,20160705,17047.18,2.56,0.0,0.0,45.35,24.86,14172,-45.98
3060,300547,川环科技,橡胶,四川,72.23,0.15,0.6,86045.56,71070.55,11833.28,32012.39,5.36,1.21,10.72,8.18,20160930,23849.7,3.99,0.0,0.0,34.19,15.74,13590,-45.94
2979,002820,桂发祥,食品,天津,61.82,0.32,1.28,65058.05,34066.98,4924.16,10916.1,0.85,0.605,4.99,9.99,20161118,24558.49,1.92,0.0,0.0,51.87,21.4,56828,-45.9
2998,603336,宏辉果蔬,农业综合,广东,98.0,0.33,1.33,62292.8,45381.96,12410.53,4992.25,0.37,0.337,4.53,9.72,20161124,28877.35,2.17,0.0,0.0,16.61,9.13,32253,-45.77
2749,300484,蓝海华腾,电气设备,深圳,56.16,0.47,1.04,82367.18,78896.09,598.72,18632.95,1.79,1.06,5.39,14.16,20160322,25038.3,2.41,154.06,174.22,44.09,24.53,15609,-45.74
570,601811,新华文轩,出版业,四川,43.34,0.99,12.34,1200614.13,576541.56,137508.84,262112.27,2.12,0.42,6.52,3.45,20160808,216404.95,1.75,0.0,0.0,38.82,11.06,53794,-45.7
3030,603727,博迈科,石油开采,天津,39.24,0.59,2.34,267119.56,150583.66,0.0,0.0,0.0,0.891,6.95,6.71,20161122,0.0,0.0,0.0,0.0,0.0,8.7,52893,-45.68
2982,603708,家家悦,超市连锁,山东,44.5,0.9,3.6,463507.94,317130.72,110066.92,35264.98,0.98,0.495,4.11,7.16,20161213,40863.45,1.14,0.0,0.0,21.45,2.2,83147,-45.15
3133,002808,苏州恒久,元器件,江苏,161.55,0.3,1.2,55542.73,45809.3,6720.02,20165.7,1.68,0.25,4.2,10.14,20160812,15434.94,1.29,0.0,0.0,25.16,12.7,23012,-44.98
2616,300500,启迪设计,建筑施工,江苏,97.04,0.17,0.61,79305.38,64931.5,4779.1,43457.06,7.07,0.66,11.43,6.94,20160204,18468.92,3.0,9.27,38.51,38.59,15.15,14099,-44.95
2908,002791,坚朗五金,其他建材,广东,40.97,0.44,2.14,299995.94,240467.41,31826.64,108452.47,5.06,0.92,11.25,4.18,20160329,102715.34,4.79,17.62,29.86,40.61,9.38,26795,-44.89
1560,300569,天能重工,专用机械,山东,42.81,0.21,0.83,130181.85,104246.09,13808.07,18605.95,2.23,1.832,12.64,8.27,20161125,51067.76,6.13,3.83,54.01,36.08,20.07,21249,-44.84
2933,603029,天鹅股份,专用机械,山东,197.25,0.23,0.93,91105.65,54614.07,19154.24,22077.5,2.37,0.21,7.47,6.71,20160427,33627.67,3.6,0.0,0.0,37.12,8.43,21581,-44.83
3013,300561,汇金科技,软件服务,广东,77.64,0.21,0.84,69385.53,65723.55,1641.0,35972.12,4.28,0.939,7.39,9.87,20161117,17637.5,2.1,28.09,11.11,73.12,36.17,15620,-44.77
2679,002795,永和智控,机械基件,浙江,107.51,0.25,1.0,69787.34,52376.42,7688.68,34386.23,3.44,0.74,6.09,11.9,20160428,13351.52,1.34,-4.59,2.08,29.85,14.78,23337,-44.76
3015,603900,通灵珠宝,服饰,江苏,41.83,0.61,2.43,249315.05,231254.16,8177.75,118960.22,4.89,1.18,8.32,4.57,20161123,52122.75,2.14,10.74,22.3,54.1,13.41,40678,-44.58
2662,601966,玲珑轮胎,汽车配件,山东,30.25,2.0,12.0,1686478.25,628793.0,909712.81,266548.47,2.22,0.73,6.41,4.07,20160706,341448.66,2.85,0.0,0.0,29.44,10.47,111962,-44.44
3114,600939,重庆建工,建筑施工,重庆,119.23,1.82,18.15,6105199.0,4784927.0,113704.32,78610.03,0.43,0.121,2.57,7.49,20170221,140738.48,0.78,0.0,0.0,6.0,0.7,151698,-44.34
2693,300611,美力科技,机械基件,浙江,108.63,0.22,0.89,57927.11,30613.46,11633.12,16109.45,1.8,0.82,6.32,10.63,20170220,17716.21,1.98,20.67,15.62,37.25,15.41,41404,-44.3
3126,300613,富瀚微,半导体,上海,104.01,0.11,0.44,33418.15,31819.09,1266.75,2690.9,0.61,2.516,8.16,32.07,20170220,19358.39,4.36,77.14,199.37,56.96,34.77,20647,-44.19
2291,603658,安图生物,医疗保健,河南,60.13,0.42,4.2,182144.06,117508.67,45022.98,53500.46,1.27,0.89,3.92,12.78,20160901,58869.38,1.4,36.81,25.8,71.98,35.68,18971,-44.19
3146,300609,汇纳科技,互联网,上海,131.26,0.25,1.0,29602.91,27178.85,491.42,5702.33,0.57,0.64,3.41,18.6,20170215,11073.75,1.11,28.11,29.99,69.19,27.93,45678,-44.03
3024,002824,和胜股份,铝,广东,79.75,0.3,1.2,60617.38,32629.4,20764.1,15127.51,1.26,0.446,4.49,10.57,20170112,14318.35,1.19,8.59,56.76,24.79,9.69,23046,-43.84
31,002853,皮阿诺,家居用品,广东,99.56,0.16,0.62,64505.57,39334.76,15603.1,15085.6,2.43,1.409,8.18,17.15,20170310,16149.98,2.6,23.12,27.74,37.85,13.89,28965,-43.75
3025,300570,太辰光,元器件,深圳,65.84,0.32,1.28,49178.12,33797.15,4404.25,2334.07,0.18,0.593,4.33,12.03,20161206,25452.05,1.99,0.0,0.0,35.99,24.01,25333,-43.56
2456,601163,三角轮胎,汽车配件,山东,34.27,2.0,8.0,1293389.63,761960.31,387679.5,412397.31,5.15,0.92,9.48,3.42,20160909,196386.7,2.45,0.0,0.0,26.88,11.46,136780,-43.54
2728,603909,合诚股份,建筑施工,福建,96.55,0.25,1.0,64846.51,51591.43,9383.28,21466.53,2.15,0.47,5.57,8.97,20160628,22802.51,2.28,0.0,0.0,41.64,20.66,18484,-43.51
188,002806,华锋股份,元器件,广东,192.6,0.2,0.8,54206.17,32981.15,15137.62,8258.58,1.03,0.24,4.31,14.32,20160726,16503.92,2.06,0.0,0.0,18.67,7.34,18404,-43.4
3116,603966,法兰泰克,机械基件,江苏,130.75,0.4,1.6,73405.46,52539.18,0.0,0.0,0.0,0.228,4.12,9.66,20170125,0.0,0.0,0.0,0.0,0.0,9.91,38467,-43.17
740,002778,高科石化,石油加工,江苏,103.08,0.45,0.89,73342.65,56890.21,8745.8,21435.85,2.41,0.282,6.58,5.9,20160106,25637.8,2.88,-7.26,-16.09,15.24,6.12,14453,-43.07
2026,600977,中国电影,影视音像,北京,49.9,4.67,18.67,1425109.38,1043929.13,254368.55,422453.44,2.26,0.48,5.13,4.8,20160809,314685.84,1.69,0.0,0.0,20.56,11.17,203163,-42.75
49,002851,麦格米特,电气设备,深圳,129.8,0.45,1.78,144212.88,105224.8,20755.74,14447.54,0.81,0.617,5.17,15.48,20170306,37734.93,2.12,41.98,93.85,33.77,9.5,81113,-42.72
2882,603203,快克股份,专用机械,江苏,64.01,0.23,0.92,31503.91,24610.15,3820.6,5890.22,0.64,0.749,3.53,18.11,20161108,8814.1,0.96,0.0,0.0,56.1,32.82,25385,-42.67
1217,002839,张家港行,银行,江苏,77.41,1.81,18.08,8756601.0,0.0,0.0,0.0,0.0,0.285,4.59,6.42,20170124,0.0,0.0,-2.14,-4.09,0.0,29.35,298143,-42.61
411,300558,贝达药业,化学制药,浙江,69.88,0.41,4.01,147507.23,74535.5,0.0,0.0,0.0,0.769,3.33,21.52,20161107,0.0,0.0,0.0,0.0,0.0,39.16,70719,-42.61
3148,300619,金银河,专用机械,广东,138.04,0.19,0.75,43268.73,31554.3,6515.23,3363.31,0.45,0.577,3.66,21.78,20170301,9699.42,1.3,61.91,80.1,33.63,14.73,34311,-42.46
3144,603665,康隆达,纺织,浙江,74.69,0.25,1.0,78034.21,33193.23,28606.93,12895.71,1.29,0.938,4.96,14.12,20170313,13567.73,1.36,16.73,49.74,33.54,13.09,24566,-42.27
2134,603060,国检集团,建筑施工,北京,70.19,0.55,2.2,76181.61,28858.69,22803.7,0.0,0.0,0.386,2.36,15.3,20161109,19252.86,0.88,0.0,0.0,49.65,18.72,50580,-42.2
2591,603738,泰晶科技,元器件,湖北,90.0,0.17,0.67,75663.43,53462.05,19094.81,26720.73,4.01,0.79,7.89,8.99,20160928,17487.6,2.62,0.0,0.0,36.99,15.03,15381,-41.97
2509,603919,金徽酒,白酒,甘肃,38.34,0.89,2.8,194236.48,66277.65,97026.49,73797.81,2.64,0.62,5.64,5.19,20160310,52118.53,1.86,0.0,0.0,61.89,17.31,34977,-41.88
