,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
1402,002717,岭南园林,建筑施工,广东,39.63,1.76,4.14,533730.13,317927.31,16971.43,142528.67,3.44,0.67,6.42,3.89,20140219,74453.75,1.8,35.94,55.29,28.28,10.16,31422
2287,603288,海天味业,食品,广东,34.98,26.97,27.05,1346359.25,882820.38,383028.53,132013.63,0.49,1.051,3.7,9.93,20140211,499884.5,1.85,10.31,13.29,43.95,22.82,21566
3113,002723,金莱特,家用电器,广东,623.72,0.77,1.87,104905.0,44975.44,45605.62,22370.9,1.2,0.035,3.44,6.4,20140129,19643.0,1.05,9.6,-84.58,11.7,0.86,12675
1344,300381,溢多利,饲料,广东,68.59,1.44,4.07,320981.63,136010.41,89522.42,104464.75,2.57,0.3,4.67,4.1,20140128,40801.8,1.0,115.0,58.11,39.33,7.51,21403
1682,300376,易事特,电气设备,广东,46.7,6.9,23.04,916837.38,692551.44,163893.06,191004.48,0.83,0.205,1.59,6.01,20140127,104424.45,0.45,42.44,69.0,17.26,8.99,47000
384,002711,欧浦智网,仓储物流,广东,59.79,3.01,6.6,323111.22,200124.81,26199.82,95.23,0.0,0.242,2.24,8.62,20140127,72922.68,1.1,73.61,65.59,16.51,7.81,35051
2122,002709,天赐材料,化工原料,广东,34.68,1.79,3.25,233538.25,115564.72,52934.42,55166.6,1.7,1.23,5.01,8.44,20140123,71759.18,2.21,94.25,298.1,39.77,21.57,53507
2704,002705,新宝股份,家用电器,广东,27.3,1.64,6.26,556015.06,370385.0,133944.95,57803.46,0.92,0.523,4.44,4.28,20140121,121511.15,1.94,7.76,47.24,20.89,6.28,13647
1889,300359,全通教育,文教休闲,广东,177.58,3.39,6.34,232688.59,81429.05,3360.88,105545.86,1.67,0.067,3.08,5.11,20140121,24060.36,0.38,189.61,27.79,34.0,6.7,60166
2777,300340,科恒股份,元器件,广东,164.93,0.82,1.18,216366.2,130159.97,18978.07,95328.34,8.09,0.33,10.91,4.31,20120726,18733.35,1.59,101.11,145.19,13.74,4.27,13171
249,300335,迪森股份,供气供热,广东,52.22,2.62,3.62,261611.55,113293.57,50770.75,32498.34,0.9,0.352,2.92,6.29,20120710,34799.19,0.96,25.8,44.81,35.56,12.02,9477
622,300328,宜安科技,铝,广东,136.2,4.1,4.1,113292.86,63809.73,42071.75,7189.71,0.18,0.075,1.78,5.73,20120619,21769.23,0.53,1.4,-42.93,28.26,5.45,23002
3043,002683,宏大爆破,化工原料,广东,206.58,4.75,7.01,555826.5,337820.72,102213.53,158851.66,2.26,0.013,4.11,2.69,20120612,51998.05,0.74,96.98,126.33,20.96,1.61,26523
