,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
2105,002402,和而泰,元器件,深圳,66.35,6.08,8.3,159898.23,110681.8,23709.63,632.9,0.01,0.144,1.28,7.44,20100511,18335.64,0.22,21.21,59.66,22.62,8.89,56769
1185,002399,海普瑞,化学制药,深圳,62.84,12.47,12.47,1167081.38,579240.25,84320.17,423409.91,3.39,0.244,6.4,3.19,20100506,154395.11,1.24,1.62,-27.32,31.62,18.49,21940
1087,300077,国民技术,半导体,深圳,74.35,5.38,5.64,329416.19,232031.16,1902.06,209696.55,3.72,0.18,5.26,2.54,20100430,33739.53,0.6,25.96,17.67,32.1,14.33,53668
1585,002388,新亚制程,元器件,深圳,431.47,3.82,4.0,109778.13,65060.78,8310.88,7981.25,0.2,0.02,1.44,7.85,20100413,8275.99,0.21,27.59,43.44,17.49,1.47,34511
1122,002369,卓翼科技,通信设备,深圳,294.48,4.2,5.81,263167.53,128813.22,100782.31,64884.76,1.12,0.04,2.79,3.06,20100316,16471.72,0.28,-28.61,131.02,9.83,0.62,36000
2411,300052,中青宝,互联网,深圳,0.0,2.6,2.61,110481.97,40814.21,1713.03,59703.69,2.29,-0.191,3.64,5.32,20100211,4242.85,0.16,-6.34,-176.27,61.7,-15.48,39133
197,002356,赫美集团,服饰,深圳,45.49,2.4,3.1,460488.81,346776.81,20367.45,0.0,0.0,0.42,5.35,4.76,20100209,34216.37,1.1,111.3,113.54,43.68,8.54,19551
2264,002351,漫步者,电脑设备,深圳,77.22,2.8,5.88,188746.7,142253.13,21071.82,71787.02,1.22,0.107,2.92,3.77,20100205,36119.15,0.61,3.1,-18.88,33.14,13.22,42562
3024,002340,格林美,小金属,深圳,79.91,23.34,29.35,1907227.63,942234.88,499949.31,283673.47,0.97,0.09,2.36,3.04,20100122,99856.8,0.34,53.13,71.02,15.71,3.37,161144
1791,002341,新纶科技,化工原料,深圳,131.53,2.9,5.03,523222.25,240218.95,120667.02,78432.03,1.56,0.102,3.99,4.5,20100122,29578.65,0.59,23.26,980.07,29.66,5.35,40313
1386,300047,天源迪科,软件服务,深圳,151.89,2.62,3.58,303903.06,223425.75,20226.76,105237.36,2.94,0.07,5.27,2.59,20100120,41574.59,1.16,49.35,94.13,18.58,1.8,26396
2991,300044,赛为智能,软件服务,深圳,68.92,2.36,3.42,207707.27,131336.84,27497.21,20811.42,0.61,0.3,2.46,8.27,20100120,30397.39,0.89,50.69,30.16,17.12,10.06,53309
1113,002334,英威腾,电气设备,深圳,85.88,5.55,7.55,258314.16,197164.88,20158.09,33769.14,0.45,0.09,2.18,3.55,20100113,61569.67,0.82,22.21,-54.28,39.52,5.14,72365
407,002336,*ST人乐,超市连锁,深圳,75.86,3.39,4.0,565474.75,368683.53,90988.56,247589.8,6.19,0.151,5.77,1.99,20100113,-66838.72,-1.67,-9.46,112.74,23.1,0.6,19394
1940,300037,新宙邦,化工原料,深圳,33.33,1.13,1.89,295571.09,161778.23,50947.65,132778.56,7.02,0.358,11.9,4.01,20100108,79865.67,4.22,29.93,27.34,38.77,17.42,25656
819,300042,朗科科技,电脑设备,深圳,109.74,1.12,1.34,90364.4,64799.28,4693.93,60245.71,4.51,0.251,6.47,5.67,20100108,11066.63,0.83,25.5,79.68,15.5,8.72,6603
1014,002327,富安娜,纺织,深圳,25.3,4.74,8.69,310358.06,184446.05,52491.48,8066.12,0.09,0.28,2.89,3.27,20091230,164104.56,1.89,3.8,-2.77,50.76,18.07,53401
2849,601139,深圳燃气,供气供热,深圳,27.02,21.82,22.12,1724349.63,434647.06,756886.13,262021.8,1.18,0.349,3.49,2.7,20091225,258138.2,1.17,6.8,17.03,25.45,9.07,25808
