date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2014-12-11,30.0,30.81,29.53,28.88,73877.19,-0.99,-3.24,32.216,33.895,32.022,73587.85,81693.7,68387.47,9.11
2014-12-10,30.2,31.53,30.52,29.21,42921.3,0.32,1.06,33.724,34.246,31.881,74616.93,79959.58,66630.19,5.29
2014-12-09,32.5,33.0,30.2,30.2,86454.58,-3.35,-9.98,34.81,34.599,31.739,81819.21,82680.63,66906.17,10.66
2014-12-08,36.5,36.7,33.55,33.55,100174.19,-3.73,-10.01,36.102,34.875,31.58,87986.58,81824.15,65873.03,12.35
2014-12-05,37.05,38.13,37.28,35.2,64512.01,0.21,0.57,36.536,34.817,31.345,89800.89,83951.36,63524.54,7.95
2014-12-04,35.98,38.29,37.07,35.95,79022.58,1.12,3.12,35.574,34.186,30.888,89799.54,80714.78,62884.53,9.74
2014-12-03,36.68,36.68,35.95,34.71,78932.68,-0.71,-1.94,34.768,33.294,30.47,85302.24,76270.91,63075.05,9.73
2014-12-02,35.89,37.55,36.66,35.88,117291.45,0.94,2.63,34.388,32.514,30.035,83542.05,72366.28,61224.84,14.46
2014-12-01,32.58,35.72,35.72,32.58,109245.74,3.25,10.01,33.648,31.633,29.55,75661.71,65153.22,58551.63,13.47
2014-11-28,33.05,33.64,32.47,31.89,64505.24,-0.57,-1.73,33.098,30.771,29.112,78101.83,57989.67,56811.64,7.95
2014-11-27,34.22,34.7,33.04,32.5,56536.07,-1.01,-2.97,32.798,30.149,28.775,71630.03,55081.23,55211.17,6.97
2014-11-26,32.97,34.5,34.05,32.97,70131.76,1.09,3.31,31.82,29.516,28.421,67239.58,53300.81,54108.86,8.65
2014-11-25,32.57,34.53,32.96,32.3,77889.74,-0.01,-0.03,30.64,28.879,28.025,61190.51,51131.71,52824.94,9.6
2014-11-24,33.5,33.5,32.97,31.55,121446.32,2.0,6.46,29.618,28.284,27.683,54644.72,49921.91,51208.01,14.97
2014-11-21,28.51,30.97,30.97,28.51,32146.24,2.82,10.02,28.444,27.872,27.291,37877.51,43097.72,46115.99,3.96
2014-11-20,27.9,28.4,28.15,27.33,34583.85,0.0,0.0,27.5,27.59,26.977,38532.44,45054.28,45373.98,4.26
2014-11-19,27.87,28.44,28.15,27.37,39886.42,0.3,1.08,27.212,27.645,26.794,39362.03,49879.18,45224.85,4.92
2014-11-18,27.21,28.04,27.85,26.81,45160.79,0.75,2.77,27.118,27.555,26.651,41072.91,50083.41,45023.66,5.57
2014-11-17,26.1,27.45,27.1,25.82,37610.27,0.85,3.24,26.95,27.466,26.524,45199.1,51950.03,43752.62,4.64
2014-11-14,26.51,26.58,26.25,25.73,35420.88,-0.46,-1.72,27.3,27.452,26.436,48317.93,55633.61,43196.58,4.37
2014-11-13,27.38,27.38,26.71,26.7,38731.79,-0.97,-3.5,27.68,27.4,26.379,51576.12,55341.11,44142.2,4.78
2014-11-12,27.0,27.68,27.68,26.77,48440.82,0.67,2.48,28.078,27.326,26.35,60396.34,54916.9,44355.5,5.97
2014-11-11,28.5,28.9,27.01,26.7,65791.76,-1.84,-6.38,27.992,27.171,26.266,59093.9,54518.18,43042.78,8.11
2014-11-10,28.28,29.59,28.85,28.07,53204.39,0.7,2.49,27.982,27.082,26.218,58700.96,52494.11,41441.33,6.56
2014-11-07,28.7,29.22,28.15,27.77,51711.86,-0.55,-1.92,27.604,26.71,26.067,62949.29,49134.26,40172.41,6.38
2014-11-06,27.15,28.93,28.7,27.09,82832.85,1.45,5.32,27.12,26.364,25.964,59106.1,45693.68,38921.06,10.21
2014-11-05,26.8,27.47,27.25,26.5,41928.64,0.29,1.08,26.574,25.943,25.84,49437.47,40570.52,37076.51,5.17
2014-11-04,26.86,27.48,26.96,26.55,63827.07,0.0,0.0,26.35,25.747,25.809,49942.45,39963.91,36794.56,7.87
2014-11-03,25.78,27.14,26.96,25.48,74446.03,1.23,4.78,26.182,25.581,25.791,46287.25,35555.21,36241.26,9.18
2014-10-31,26.0,26.12,25.73,25.3,32495.93,-0.24,-0.92,25.816,25.42,25.763,35319.23,30759.55,34952.74,4.01
2014-10-30,26.15,26.42,25.97,25.89,34489.69,-0.16,-0.61,25.608,25.357,25.762,32281.25,32943.29,34794.2,4.25
2014-10-29,26.1,26.42,26.13,25.92,44453.55,0.01,0.04,25.312,25.373,25.74,31703.56,33794.09,35333.87,5.48
2014-10-28,25.2,26.15,26.12,25.2,45551.07,0.99,3.94,25.144,25.36,25.703,29985.37,31567.39,34573.08,5.62
2014-10-27,24.5,25.24,25.13,24.35,19605.89,0.44,1.78,24.98,25.353,25.637,24823.16,30388.55,33537.03,2.42
2014-10-24,24.4,24.85,24.69,24.22,17306.07,0.2,0.82,25.024,25.423,25.607,26199.87,31210.56,33874.15,2.13
2014-10-23,25.45,25.48,24.49,24.2,31601.23,-0.8,-3.16,25.106,25.563,25.641,33605.33,32148.45,34216.25,3.9
2014-10-22,25.2,25.95,25.29,25.15,35862.58,-0.01,-0.04,25.434,25.737,25.662,35884.62,33582.5,33800.36,4.42
2014-10-21,25.19,25.47,25.3,25.0,19740.02,-0.05,-0.2,25.576,25.871,25.652,33149.42,33625.2,33314.2,2.43
2014-10-20,24.99,25.35,25.35,24.75,26489.45,0.25,1.0,25.726,26.001,25.634,35953.95,36927.32,34705.82,3.27
2014-10-17,26.2,26.25,25.1,24.56,54333.38,-1.03,-3.94,25.822,26.105,25.677,36221.25,39145.94,36263.3,6.7
2014-10-16,26.05,26.61,26.13,25.71,42997.67,0.13,0.5,26.02,26.166,25.725,30691.57,36645.1,35910.54,5.3
2014-10-15,26.02,26.06,26.0,25.6,22186.56,-0.05,-0.19,26.04,26.106,25.694,31280.37,36873.65,36183.14,2.74
2014-10-14,25.83,26.49,26.05,25.67,33762.68,0.22,0.85,26.166,26.045,25.688,34100.99,37578.76,37452.24,4.16
2014-10-13,26.07,26.09,25.83,25.3,27825.95,-0.26,-1.0,26.276,25.921,25.66,37900.69,36685.51,37669.81,3.43
2014-10-10,26.29,26.47,26.09,26.0,26684.97,-0.14,-0.53,26.388,25.791,25.66,42070.63,36537.74,38606.14,3.29
2014-10-09,26.59,26.59,26.23,25.89,45941.7,-0.4,-1.5,26.312,25.719,25.659,42598.64,36284.05,40882.55,5.66
2014-10-08,26.74,26.98,26.63,26.5,36289.64,0.03,0.11,26.172,25.586,25.656,42466.93,34018.23,45459.93,4.47
2014-09-30,26.63,26.98,26.6,26.38,52761.2,0.21,0.8,25.924,25.432,25.617,41056.53,33003.2,50178.81,6.5
2014-09-29,26.08,26.57,26.39,25.68,48675.66,0.68,2.65,25.566,25.267,25.462,35470.32,32484.31,49032.19,6.0
2014-09-26,25.52,25.88,25.71,25.38,29325.0,0.18,0.7,25.194,25.248,25.291,31004.85,33380.65,47712.59,3.62
2014-09-25,25.55,26.11,25.53,25.29,45283.15,0.14,0.55,25.126,25.284,25.14,29969.46,35175.97,47722.14,5.58
2014-09-24,24.77,25.39,25.39,24.61,29237.65,0.58,2.34,25.0,25.282,25.026,25569.54,35492.62,47077.97,3.6
2014-09-23,24.65,24.95,24.81,24.42,24830.14,0.28,1.14,24.94,25.33,24.925,24949.87,37325.71,47758.46,3.06
